Frame,Landmark_0_x,Landmark_0_y,Landmark_1_x,Landmark_1_y,Landmark_2_x,Landmark_2_y,Landmark_3_x,Landmark_3_y,Landmark_4_x,Landmark_4_y,Landmark_5_x,Landmark_5_y,Landmark_6_x,Landmark_6_y,Landmark_7_x,Landmark_7_y,Landmark_8_x,Landmark_8_y,Landmark_9_x,Landmark_9_y,Landmark_10_x,Landmark_10_y,Landmark_11_x,Landmark_11_y,Landmark_12_x,Landmark_12_y,Landmark_13_x,Landmark_13_y,Landmark_14_x,Landmark_14_y,Landmark_15_x,Landmark_15_y,Landmark_16_x,Landmark_16_y,Landmark_17_x,Landmark_17_y,Landmark_18_x,Landmark_18_y,Landmark_19_x,Landmark_19_y,Landmark_20_x,Landmark_20_y,Label
0,448,908,316,883,213,795,153,705,96,641,292,661,241,556,214,491,195,433,366,635,345,511,335,432,331,365,434,634,434,512,434,437,435,372,499,652,521,559,536,497,548,439,1
24,445,924,313,900,210,816,147,726,91,662,283,677,232,577,205,515,188,459,355,649,334,528,323,452,315,388,423,644,419,528,415,454,412,390,489,660,506,568,517,510,526,454,1
48,360,956,219,941,108,863,34,786,-32,743,169,707,102,605,63,542,35,487,243,671,214,543,196,462,181,396,318,663,310,537,306,456,300,389,389,676,403,573,413,507,419,450,1
72,454,903,319,869,216,771,154,674,95,609,291,634,242,522,218,455,202,396,368,607,357,475,357,395,360,327,437,609,450,489,463,415,476,351,500,632,530,542,557,488,576,440,1
96,426,904,290,888,173,827,68,785,-22,764,280,661,247,590,233,544,226,504,353,633,349,543,352,492,360,446,425,627,440,531,453,473,464,422,487,642,526,569,556,525,581,485,1
120,521,842,386,821,269,771,178,717,103,686,330,574,258,451,219,366,193,291,407,534,374,378,356,274,345,181,480,528,482,385,487,283,492,195,551,554,591,448,629,378,661,314,1
144,447,764,340,762,230,700,196,608,231,538,260,570,199,502,226,584,258,611,316,547,253,483,283,584,315,599,377,536,313,483,341,587,374,608,450,533,381,495,391,574,420,601,467,813,331,768,231,705,193,614,225,534,255,570,204,491,218,569,254,614,311,550,264,476,285,574,319,605,375,539,325,485,346,583,379,610,447,538,389,492,396,569,425,599,1
168,507,804,370,804,227,743,115,699,31,692,306,553,296,452,322,549,324,592,387,541,383,461,402,585,388,590,464,535,461,470,472,582,459,586,540,536,538,478,538,560,532,578,1
192,545,773,422,752,291,675,186,614,102,591,373,500,392,402,402,505,392,543,461,498,475,419,478,546,458,543,541,500,551,438,544,551,523,552,615,505,625,448,610,528,593,550,1
216,512,873,385,867,250,803,142,762,53,751,312,572,297,416,294,314,294,221,403,555,420,550,429,688,420,699,495,563,515,572,505,691,483,692,580,578,595,565,578,660,555,680,1
240,518,907,377,894,234,831,136,793,47,781,312,585,254,443,219,351,191,267,408,556,404,362,402,229,406,97,507,573,536,577,507,705,480,769,594,610,608,619,586,712,551,757,1
264,503,882,361,861,249,783,179,715,116,688,318,622,284,475,270,380,258,300,395,610,384,549,401,679,414,758,472,612,461,559,464,685,467,745,555,624,545,557,533,644,525,690,505,902,375,880,253,786,185,719,131,684,310,608,280,450,269,359,258,278,395,601,387,551,404,677,409,755,479,604,470,567,472,688,467,744,564,614,553,556,543,636,537,676,1
288,515,899,375,881,245,817,157,767,89,751,305,620,267,465,252,373,238,293,390,610,381,553,405,682,417,762,472,610,464,564,470,691,470,750,554,617,552,554,540,642,530,685,1
312,517,899,381,887,242,826,150,792,73,785,310,606,236,479,192,400,158,329,392,584,369,405,354,288,347,175,479,596,490,564,476,686,465,755,561,624,560,573,548,651,532,701,1
336,519,906,380,904,249,828,155,792,81,779,307,610,237,509,206,442,178,382,389,575,371,423,366,339,354,266,462,579,455,427,435,339,411,257,533,613,533,536,532,602,534,669,1
360,520,909,379,908,247,836,151,799,78,793,308,625,229,526,193,465,160,409,383,587,337,452,317,382,295,326,458,587,455,434,445,341,433,263,531,621,516,535,516,597,526,667,1
384,511,891,372,891,245,844,154,817,78,821,299,633,224,556,187,508,162,467,370,588,330,476,315,417,307,371,446,569,441,451,441,385,439,330,519,577,530,487,541,435,549,389,1
408,515,894,372,890,245,843,152,818,77,821,299,637,227,558,189,512,163,472,372,591,333,481,315,418,305,370,449,573,445,457,449,390,450,334,520,578,534,487,548,432,559,383,1
432,334,991,451,927,541,849,598,774,638,725,416,688,443,566,452,495,453,439,329,673,309,523,300,440,292,380,252,696,193,570,162,496,140,437,189,740,127,656,93,604,69,555,1
456,275,936,410,903,509,849,583,778,639,729,390,666,447,540,476,464,495,402,307,641,325,491,333,406,333,345,233,653,201,532,180,457,162,399,174,687,129,609,98,560,73,515,1
480,279,921,406,881,499,827,565,755,615,702,386,646,435,525,459,456,476,398,305,625,322,484,330,401,328,341,233,640,196,523,178,453,163,400,172,677,122,599,93,553,69,512,1
504,352,887,230,878,118,815,26,767,-54,745,178,625,116,530,81,468,60,415,247,579,216,443,198,359,188,287,318,569,332,424,347,333,363,250,386,589,423,476,451,406,473,336,1
528,475,846,333,818,204,746,91,690,-4,667,300,542,233,425,196,355,167,296,384,510,355,373,344,292,337,223,466,515,489,392,513,317,531,254,537,548,584,459,619,412,645,370,1
552,487,959,350,937,219,870,112,809,21,779,308,653,233,534,196,467,171,404,393,619,366,475,356,393,353,323,477,626,499,492,517,412,531,344,554,659,601,562,632,504,658,450,1
576,469,822,349,807,250,707,254,582,314,516,271,633,232,547,261,621,291,641,336,617,312,533,329,634,342,651,398,607,377,534,388,639,403,660,471,602,443,550,445,627,461,654,492,891,349,824,255,716,256,591,326,525,284,619,256,525,273,602,295,643,349,610,335,526,347,619,359,649,417,610,401,540,404,631,411,658,488,620,462,561,455,626,462,656,1
600,487,870,348,832,246,737,244,617,310,560,261,660,228,568,259,646,282,669,330,641,311,562,336,659,345,669,399,629,385,575,398,670,404,677,473,623,450,579,452,649,461,669,1
624,476,819,368,821,274,746,218,661,152,608,241,610,171,512,132,446,104,388,297,572,244,463,217,389,200,328,361,558,320,452,304,385,290,325,429,564,411,483,408,433,405,385,1
648,402,792,376,824,345,824,317,821,279,841,251,578,191,436,145,332,107,256,272,539,209,392,158,288,118,209,290,521,234,391,183,301,143,230,300,514,258,415,221,346,193,288,1
672,435,791,407,823,371,827,344,832,328,845,273,568,220,417,171,317,127,245,303,525,246,373,199,272,156,198,337,510,282,379,230,292,184,224,366,513,343,424,314,373,287,332,1
696,636,820,552,824,481,779,418,756,384,744,489,550,435,417,397,333,369,259,504,512,476,331,451,205,440,102,518,508,471,344,434,237,412,143,522,531,463,433,422,370,391,313,1
720,382,853,345,749,306,646,277,583,252,522,333,590,278,463,242,374,218,303,338,587,264,435,219,335,189,260,320,595,253,442,201,347,165,269,279,610,222,488,188,411,165,347,424,904,380,784,340,682,311,616,279,559,351,575,290,450,248,367,220,299,355,565,277,416,232,325,207,255,333,572,258,421,212,328,186,256,283,587,217,462,180,385,156,321,1
744,447,911,332,841,294,751,272,694,247,640,348,593,297,477,261,400,234,336,360,587,294,443,252,361,226,291,350,592,288,449,244,366,218,296,314,601,258,487,224,422,203,362,1
768,428,840,292,826,156,774,31,746,-67,736,215,548,143,436,102,365,70,303,293,512,256,381,234,300,218,234,373,513,370,391,370,315,367,246,450,540,476,448,496,390,510,334,1
792,537,818,395,802,262,746,142,702,43,680,320,509,244,386,197,312,164,246,399,474,361,335,339,248,324,174,480,475,481,345,484,272,484,208,559,502,586,405,607,349,622,295,1
816,570,826,435,804,312,727,290,591,331,493,291,593,237,472,293,560,322,604,363,559,339,449,387,563,381,591,436,538,428,457,454,570,440,598,510,527,495,462,511,539,509,570,1
840,549,839,415,816,302,731,302,611,372,536,300,619,257,519,302,593,327,633,376,596,356,506,387,602,389,628,451,584,446,524,460,621,454,645,529,581,508,528,514,600,519,629,1
864,563,829,440,849,289,811,157,804,49,813,312,578,268,443,239,351,218,263,398,562,416,484,451,615,433,644,484,557,505,506,523,625,494,644,561,565,573,515,581,604,562,637,1
888,607,848,482,853,332,818,194,819,74,842,362,557,314,402,291,295,277,204,454,536,500,468,526,607,500,649,545,533,594,493,602,616,561,649,625,547,673,501,671,593,633,632,1
912,612,972,427,922,301,783,216,675,130,627,498,665,546,567,500,658,471,712,616,688,640,604,567,727,545,767,713,726,718,661,656,776,648,807,790,769,807,728,778,787,791,798,1
936,440,928,314,753,241,555,188,435,121,372,471,435,522,337,456,437,422,505,570,481,622,404,522,537,492,574,647,553,686,505,586,614,559,640,706,638,734,589,655,650,629,669,1
