Frame,Landmark_0_x,Landmark_0_y,Landmark_1_x,Landmark_1_y,Landmark_2_x,Landmark_2_y,Landmark_3_x,Landmark_3_y,Landmark_4_x,Landmark_4_y,Landmark_5_x,Landmark_5_y,Landmark_6_x,Landmark_6_y,Landmark_7_x,Landmark_7_y,Landmark_8_x,Landmark_8_y,Landmark_9_x,Landmark_9_y,Landmark_10_x,Landmark_10_y,Landmark_11_x,Landmark_11_y,Landmark_12_x,Landmark_12_y,Landmark_13_x,Landmark_13_y,Landmark_14_x,Landmark_14_y,Landmark_15_x,Landmark_15_y,Landmark_16_x,Landmark_16_y,Landmark_17_x,Landmark_17_y,Landmark_18_x,Landmark_18_y,Landmark_19_x,Landmark_19_y,Landmark_20_x,Landmark_20_y,Label
0,471,981,338,951,240,855,219,737,258,654,288,757,246,673,262,762,288,785,346,739,301,657,315,768,345,778,408,729,362,652,372,766,406,785,485,724,432,667,428,749,456,776,0
24,377,1020,266,999,174,872,189,748,275,701,227,777,192,685,215,742,236,779,292,758,270,608,252,532,244,437,362,770,334,691,328,806,333,867,440,794,387,743,385,833,394,885,0
48,423,989,310,966,225,840,260,718,341,669,259,742,238,647,262,706,286,750,322,725,296,564,280,481,282,384,393,736,400,657,386,773,384,839,471,762,447,699,443,789,449,842,0
72,448,992,330,937,252,831,244,727,297,666,316,731,269,661,277,723,297,771,367,713,322,569,283,500,261,425,430,716,364,654,357,751,374,808,498,736,415,689,406,768,424,819,0
96,307,1040,401,921,413,820,373,740,316,720,439,741,378,642,360,677,360,712,354,730,328,570,305,475,298,407,267,746,249,692,252,742,265,791,192,778,202,751,213,796,228,838,0
120,291,1028,375,912,385,801,344,735,282,719,417,733,355,649,329,691,327,726,340,726,321,562,299,476,287,418,258,744,236,694,243,752,254,801,184,772,200,752,212,798,220,839,0
144,285,1032,152,959,91,854,71,755,107,696,220,733,204,610,174,534,155,470,260,730,197,666,169,711,165,753,294,729,181,681,157,765,167,844,322,728,203,688,160,750,154,818,0
168,410,959,277,930,182,790,210,647,299,578,187,692,156,572,201,636,246,693,263,658,222,504,210,424,209,343,339,659,340,560,343,668,348,745,421,680,402,606,398,688,401,754,0
192,389,961,265,937,170,796,200,657,290,601,194,685,175,585,219,648,255,705,270,669,237,492,210,380,195,263,351,684,361,594,350,714,346,793,435,712,406,659,401,752,404,813,0
216,383,1049,468,925,477,811,427,731,355,725,497,731,413,649,388,693,378,729,408,721,371,565,343,481,328,421,324,743,291,715,301,766,328,811,251,774,253,774,267,822,288,860,0
